"","CityName","UniqueUserCount","Lat","Lon"
"55","Pocos_de_Caldas",587,-21.7894215099973,-46.5637823835251
"56","Criciuma",570,-28.6844463289178,-49.3628599613246
"57","Mossoro",570,-5.18884258361488,-37.34585593765
"58","Chapeco",547,-27.0975610868415,-52.6149692276094
"59","Cascavel",527,-22.6135609659353,-51.7580184276642
"60","Juazeiro_do_Norte",511,-7.22056651098113,-39.3138068716871
"61","Ponta_Grossa",509,-25.0921405833563,-50.1603049716724
"62","Jacarei",493,-23.3026866679478,-45.966471385623
"63","Franca",488,-20.5388471381326,-47.3984872775168
"64","Mogi_Guacu_Mirim",487,-22.3959357676614,-46.9526773118817
"65","Presidente_Prudente",485,-22.1255125048273,-51.3946529225463
"66","Barretos",478,-20.558961241435,-48.5672580927864
"67","Olimpia",470,-20.7329185133241,-48.9093143205883
"68","Hortolandia",463,-22.8741573847284,-47.1993199172978
"69","Santa_Cruz_do_Sul",449,-29.717231290395,-52.4286806522741
"70","Vinhedo",449,-23.0285620670669,-46.9816297161149
"71","Guaratingueta",436,-22.8056308748129,-45.1866975844801
"72","Gravata",429,-8.20138668826263,-35.5673905510444
"73","Rio_Claro",421,-22.4047214765098,-47.556329121728
"74","Marilia",418,-22.2149014784365,-49.945551730922
"75","Aracatuba",409,-21.2092122926714,-50.437917740984
"76","Divinopolis",407,-20.1407287523774,-44.8872473317599
"77","Jaragua_doSul",404,-26.4844511498797,-49.0871928196462
"78","Rio_Branco",401,-9.96602940210241,-67.8148184255553
"79","Maceio",399,-9.55822812572996,-35.7563214561824
"80","Passo_Fundo",390,-28.2610905154327,-52.4018978940936
"81","Cabo_de_Santo_Agostinho",389,-8.28207323247867,-35.027142381087
"82","Valinhos",383,-22.9712694757826,-46.996331992131
"83","Montes_Claros",375,-16.7308896618274,-43.8676287380464
"84","Francisco_Morato_Franco_da_Rocha",374,-23.3140713155927,-46.7296823927048
"85","Santa_Barbara_Doeste",360,-22.7505638611016,-47.403937531002
"86","Jaguariuna",355,-22.6942824204787,-46.9884347048369
"87","Vitoria_da_Conquista",355,-14.8554166339074,-40.8450782993405
"88","Tubarao",350,-28.4850243107529,-49.0131183607749
"89","Serra",349,-20.1749415331806,-40.2781997951502
"90","Lajeado_Estrela",344,-29.4568745586362,-51.9655963902203
"91","Sao_Joao_del_Rei",332,-21.1324332044386,-44.252775958054
"92","Boituva",326,-23.2854237041968,-47.6768407083025
"93","Sete_Lagoas",325,-19.4621328498131,-44.2449053471649
"94","Sobral",325,-3.68835285445556,-40.3502976493551
"95","Paulinia",309,-22.7614580826627,-47.1556667639863
"96","Bage",305,-31.3269749876325,-54.1029736155261
"97","Lages",305,-27.8125363762513,-50.3215177196377
"98","Pouso_Alegre",304,-22.2304538408603,-45.9328045314744
"99","Aracaju",299,-10.9355544294558,-37.0986546437086
"100","Salto",297,-23.2005046651726,-47.2879721728643
"101","Vitoria",297,-20.3337357297426,-40.4012877904473
"102","Porto_Velho",296,-8.76825337296217,-63.86997450308
"103","Dourados",295,-22.2228105643531,-54.8078296630502
"104","Sao_Jose",293,-27.6326114441749,-48.6886934812201
"105","Santa_Maria",291,-29.700041923952,-53.7751833392254
"106","Crato",287,-7.23526184234007,-39.3951301571453
"107","Botucatu",286,-22.8865145392235,-48.4460186651089
"108","Bonito",279,-21.1290941620412,-56.4829243155653
"109","Varginha",276,-21.5553972538133,-45.4358187818035
