"","CityName","UniqueUserCount","Lat","Lon"
"81","Juazeiro_do_Norte",156,-7.22013343738223,-39.313299738478
"82","Montes_Claros",148,-16.7310092859493,-43.867761877151
"83","Boituva",145,-23.2852344145289,-47.6759126800475
"84","Criciuma",145,-28.6843498566643,-49.3606520685792
"85","Pouso_Alegre",143,-22.2308096188317,-45.9329458830167
"86","Sete_Lagoas",138,-19.4612010243709,-44.2446912383747
"87","Botucatu",128,-22.8860620773093,-48.4462776785945
"88","Vitoria_da_Conquista",125,-14.8550256888087,-40.8456199550625
"89","Itupeva",123,-23.1553872354677,-47.0563864866918
"90","Pindamonhangaba",121,-22.9302429575633,-45.4668995375825
"91","Santa_Cruz_do_Sul",121,-29.7183484482841,-52.429144407775
"92","Varginha",116,-21.5552720131636,-45.4352812812688
"93","Patos_de_Minas",115,-18.5862184800368,-46.5154081471101
"94","Lins",114,-21.6721624233696,-49.744141756648
"95","Sao_Joao_del_Rei",113,-21.1316691528048,-44.2508794772321
"96","Caieiras",112,-23.3633686779694,-46.7412947564263
"97","Dourados",112,-22.222830755674,-54.8075403055557
"98","Jau",112,-22.2961032000813,-48.5594176303794
"99","Pirassununga",112,-22.0038695638585,-47.425655801591
"100","Campo_Largo",110,-25.4564716187968,-49.5285894736616
"101","Bonito",109,-21.1287561413627,-56.4840665326275
"102","Araras",108,-22.3578363803872,-47.3791909654774
"103","Rondonopolis",106,-16.4691071698069,-54.6230685555016
"104","Jaragua_doSul",104,-26.4832571030739,-49.0892288839567
"105","Passo_Fundo",104,-28.2615480215423,-52.4022604839323
"106","Crato",103,-7.23481878496721,-39.3933100955392
"107","Itapetininga",103,-23.588867366997,-48.0498064477122
"108","Luziania",101,-16.2301822883853,-47.9327850016256
"109","Louveira",100,-23.0858899436047,-46.9506521910853
"110","Braganca_Paulista",99,-22.9499588493747,-46.5572637688872
"111","Araguari",98,-18.6474989004552,-48.1882040924281
"112","Barbacena",98,-21.2232782968851,-43.7712202599351
"113","Gravata",98,-8.20093409316023,-35.5675412126074
"114","Catanduva",97,-21.1380894774307,-48.9759381790743
"115","Lajeado_Estrela",96,-29.4580348277989,-51.965803321563
"116","Araucaria",95,-25.5881251349531,-49.4042669999441
"117","Catalao",95,-18.165915884571,-47.9431777950953
"118","Guarapuava",93,-25.3912440288967,-51.4705045611249
"119","Lorena",93,-22.7365257940281,-45.1191082293967
"120","Avare",90,-23.0976516313412,-48.9219161927623
"121","Tatui",90,-23.3505760739664,-47.8481592758398
"122","Sao_Joao_da_Boa_Vista",89,-21.9711047498724,-46.7924699978853
"123","Amparo",88,-22.70398133139,-46.771337708462
"124","Votuporanga",88,-20.4172859974638,-49.9717148479804
"125","Sertaozinho",87,-21.1337768351656,-47.9880323450657
"126","Assis",86,-22.6636634753319,-50.4146109688233
"127","Sao_Pedro",86,-22.5497740094643,-47.9085618734891
