"","nightlight1000","mean_value","UP_value","Low_value"
"46",83.6815636363636,-3.6088102799336,-2.61917286351962,-4.59844769634757
"47",85.5485606060606,-3.58024034299617,-2.57517730225362,-4.58530338373872
"48",87.4155575757576,-3.55167040605874,-2.53068126620239,-4.5726595459151
"49",89.2825545454546,-3.52310046912132,-2.4857078050445,-4.56049313319813
"50",91.1495515151515,-3.49453053218389,-2.44027920389733,-4.54878186047045
"51",93.0165484848485,-3.46596059524646,-2.39441694478449,-4.53750424570844
"52",94.8835454545455,-3.43739065830904,-2.3481416810616,-4.52663963555647
"53",96.7505424242424,-3.40882072137161,-2.301473223085,-4.51616821965822
"54",98.6175393939394,-3.38025078443418,-2.25443053349425,-4.50607103537412
"55",100.484536363636,-3.35168084749676,-2.20703173059275,-4.49632996440076
"56",102.351533333333,-3.32311091055933,-2.15929409844086,-4.4869277226778
"57",104.21853030303,-3.2945409736219,-2.11123410241398,-4.47784784482983
"58",106.085527272727,-3.26597103668448,-2.06286740911784,-4.46907466425111
"59",107.952524242424,-3.23740109974705,-2.01420890968945,-4.46059328980465
"60",109.819521212121,-3.20883116280962,-1.96527274564152,-4.45238957997773
"61",111.686518181818,-3.1802612258722,-1.91607233652884,-4.44445011521555
"62",113.553515151515,-3.15169128893477,-1.86662040882482,-4.43676216904472
"63",115.420512121212,-3.12312135199734,-1.81692902549571,-4.42931367849897
"64",117.287509090909,-3.09455141505992,-1.76700961584803,-4.4220932142718
"65",119.154506060606,-3.06598147812249,-1.71687300530218,-4.4150899509428
"66",121.021503030303,-3.03741154118506,-1.66652944481274,-4.40829363755738
"67",122.8885,-3.00884160424764,-1.61598863971383,-4.40169456878144
"68",124.755496969697,-2.98027166731021,-1.56525977781781,-4.39528355680261
"69",126.622493939394,-2.95170173037278,-1.51435155663747,-4.3890519041081
"70",128.489490909091,-2.92313179343536,-1.46327220963737,-4.38299137723334
"71",130.356487878788,-2.89456185649793,-1.41202953144916,-4.3770941815467
"72",132.223484848485,-2.8659919195605,-1.36063090201022,-4.37135293711079
"73",134.090481818182,-2.83742198262308,-1.30908330960477,-4.36576065564138
"74",135.957478787879,-2.80885204568565,-1.25739337280245,-4.36031071856885
"75",137.824475757576,-2.78028210874822,-1.20556736130237,-4.35499685619408
"76",139.691472727273,-2.7517121718108,-1.15361121570063,-4.34981312792097
"77",141.55846969697,-2.72314223487337,-1.10153056620703,-4.34475390353971
"78",143.425466666667,-2.69457229793594,-1.04933075034263,-4.33981384552926
"79",145.292463636364,-2.66600236099852,-0.997016829653963,-4.33498789234307
"80",147.159460606061,-2.63743242406109,-0.944593605482813,-4.33027124263937
"81",149.026457575758,-2.60886248712366,-0.892065633832236,-4.32565934041509
"82",150.893454545455,-2.58029255018624,-0.839437239370598,-4.32114786100188
"83",152.760451515152,-2.55172261324881,-0.786712528615724,-4.3167326978819
"84",154.627448484848,-2.52315267631138,-0.733895402341038,-4.31240995028173
"85",156.494445454545,-2.49458273937396,-0.680989567244964,-4.30817591150295
"86",158.361442424242,-2.46601280243653,-0.627998546923851,-4.30402705794921
"87",160.228439393939,-2.4374428654991,-0.574925692187521,-4.29996003881069
"88",162.095436363636,-2.40887292856168,-0.521774190755114,-4.29597166636824
"89",163.962433333333,-2.38030299162425,-0.468547076367416,-4.29205890688108
"90",165.82943030303,-2.35173305468682,-0.415247237350254,-4.28821887202339
"91",167.696427272727,-2.3231631177494,-0.361877424661905,-4.28444881083689
"92",169.563424242424,-2.29459318081197,-0.308440259455838,-4.2807461021681
"93",171.430421212121,-2.26602324387454,-0.254938240188441,-4.27710824756065
"94",173.297418181818,-2.23745330693712,-0.201373749299799,-4.27353286457443
"95",175.164415151515,-2.20888336999969,-0.147749059493983,-4.2700176805054
"96",177.031412121212,-2.18031343306226,-0.0940663396438177,-4.26656052648071
"97",178.898409090909,-2.15174349612484,-0.0403276603435936,-4.26315933190608
"98",180.765406060606,-2.12317355918741,0.0134650008682002,-4.25981211924302
"99",182.632403030303,-2.09460362224998,0.067309754595406,-4.25651699909537
"100",184.4994,-2.06603368531256,0.121204794960541,-4.25327216558566
