"","Surface_pressure","mean_value","UP_value","Low_value"
"74",99.1384732636364,-2.61030380161109,-1.70419020595689,-3.51641739726528
"75",99.2783288727273,-2.54488701354582,-1.6304251644671,-3.45934886262454
"76",99.4181844818182,-2.47947022548053,-1.55632602950718,-3.40261442145388
"77",99.5580400909091,-2.41405343741526,-1.48190213658164,-3.34620473824888
"78",99.6978957,-2.34863664934998,-1.40716280654821,-3.29011049215176
"79",99.8377513090909,-2.28321986128471,-1.33211731494081,-3.23432240762861
"80",99.9776069181818,-2.21780307321943,-1.25677486416865,-3.17883128227021
"81",100.117462527273,-2.15238628515416,-1.18114455856459,-3.12362801174373
"82",100.257318136364,-2.08696949708887,-1.10523538222188,-3.06870361195586
"83",100.397173745455,-2.0215527090236,-1.02905617952522,-3.01404923852197
"84",100.537029354545,-1.95613592095832,-0.952615638260093,-2.95965620365656
