"","Wind","mean_value","UP_value","Low_value"
"74",6.61415353535354,-6.19447804683756,-5.03909223695836,-7.34986385671677
"75",6.70107070707071,-6.20612023841922,-5.03923576893509,-7.37300470790335
"76",6.78798787878788,-6.21776243000087,-5.03924381805981,-7.39628104194194
"77",6.87490505050505,-6.22940462158253,-5.03912035705791,-7.41968888610715
"78",6.96182222222222,-6.24104681316419,-5.03886924717256,-7.44322437915582
"79",7.04873939393939,-6.25268900474584,-5.03849423944359,-7.46688377004809
"80",7.13565656565657,-6.2643311963275,-5.03799897620262,-7.49066341645238
"81",7.22257373737374,-6.27597338790915,-5.03738699275512,-7.51455978306318
"82",7.30949090909091,-6.28761557949081,-5.03666171922254,-7.53856943975907
"83",7.39640808080808,-6.29925777107246,-5.03582648251946,-7.56268905962547
