"","Skintemperature","mean_value","UP_value","Low_value"
"74",39.5299909090909,-3.50439986348357,-2.44907444702985,-4.55972527993729
"75",40.1099181818182,-3.42570438772852,-2.35704464295501,-4.49436413250202
"76",40.6898454545455,-3.34700891197346,-2.26470228066015,-4.42931554328677
"77",41.2697727272727,-3.2683134362184,-2.17205903286604,-4.36456783957077
"78",41.8497,-3.18961796046335,-2.07912623687717,-4.30010968404953
"79",42.4296272727273,-3.11092248470829,-1.98591488560657,-4.23593008381001
"80",43.0095545454545,-3.03222700895324,-1.8924356216726,-4.17201839623387
"81",43.5894818181818,-2.95353153319818,-1.7986987342178,-4.10836433217856
"82",44.1694090909091,-2.87483605744312,-1.70471415811729,-4.04495795676896
"83",44.7493363636364,-2.79614058168807,-1.61049147526484,-3.98178968811129
