"","settlement1500","mean_value","UP_value","Low_value"
"74",79.867363120202,-7.45586708619645,-6.43906634651902,-8.47266782587388
"75",81.0569599040404,-7.52044375004781,-6.49365737641269,-8.54723012368293
"76",82.2465566878788,-7.58502041389917,-6.54801137502668,-8.62202945277167
"77",83.4361534717172,-7.64959707775054,-6.60213528223242,-8.69705887326866
"78",84.6257502555555,-7.7141737416019,-6.65603591684412,-8.77231156635968
"79",85.8153470393939,-7.77875040545326,-6.70971996807437,-8.84778084283216
"80",87.0049438232323,-7.84332706930463,-6.76319398831498,-8.92346015029427
"81",88.1945406070707,-7.90790373315599,-6.8164643871545,-8.99934307915748
"82",89.3841373909091,-7.97248039700735,-6.86953742654223,-9.07542336747247
"83",90.5737341747475,-8.03705706085872,-6.92241921700854,-9.1516949047089
