"","population500","mean_value","UP_value","Low_value"
"74",12.0836793080808,-2.22414564311829,0.391953644117558,-4.84024493035413
"75",12.2492091616162,-2.20288366566486,0.448511173256375,-4.8542785045861
"76",12.4147390151515,-2.18162168821144,0.505110086059803,-4.86835346248268
"77",12.5802688686869,-2.16035971075801,0.561748770867478,-4.8824681923835
"78",12.7457987222222,-2.13909773330459,0.61842569695569,-4.89662116356487
"79",12.9113285757576,-2.11783575585116,0.675139409625541,-4.91081092132787
"80",13.0768584292929,-2.09657377839774,0.731888525636569,-4.92503608243205
"81",13.2423882828283,-2.07531180094431,0.788671728958528,-4.93929533084716
"82",13.4079181363636,-2.05404982349089,0.84548776681634,-4.95358741379812
"83",13.573447989899,-2.03278784603747,0.902335446005442,-4.96791113808037
"84",13.7389778434343,-2.01152586858404,0.959213629456668,-4.98226536662475
