"","GDP","mean_value","UP_value","Low_value"
"74",55.4742305191919,-11.9371559274948,-8.9051685906867,-14.9691432643029
"75",56.2098658838384,-12.0797602868563,-8.99898523426411,-15.1605353394485
"76",56.9455012484849,-12.2223646462179,-9.09275315437814,-15.3519761380576
"77",57.6811366131313,-12.3649690055794,-9.18647459688419,-15.5434634142746
"78",58.4167719777778,-12.507573364941,-9.28015167364787,-15.734995056234
"79",59.1524073424242,-12.6501777243025,-9.37378637224728,-15.9265690763577
"80",59.8880427070707,-12.792782083664,-9.46738056485671,-16.1181836024714
"81",60.6236780717172,-12.9353864430256,-9.56093601639005,-16.3098368696611
"82",61.3593134363636,-13.0779908023871,-9.65445439197374,-16.5015272128005
"83",62.0949488010101,-13.2205951617487,-9.74793726381193,-16.6932530596854
"84",62.8305841656566,-13.3631995211102,-9.84138611749988,-16.8850129247206
