"","cloudcover","mean_value","UP_value","Low_value"
"65",64.6464646464647,-3.62853251739666,-2.87081562167134,-4.38624941312198
"66",65.6565656565657,-3.62804991862124,-2.86994741062637,-4.38615242661612
"67",66.6666666666667,-3.62756731984583,-2.86905536758624,-4.38607927210542
"68",67.6767676767677,-3.62708472107041,-2.86813953112241,-4.38602991101842
"69",68.6868686868687,-3.626602122295,-2.86719994195718,-4.38600430263281
"70",69.6969696969697,-3.62611952351958,-2.86623664294491,-4.38600240409426
"71",70.7070707070707,-3.62563692474417,-2.86524967905211,-4.38602417043622
"72",71.7171717171717,-3.62515432596875,-2.8642390973369,-4.3860695546006
"73",72.7272727272727,-3.62467172719334,-2.86320494692737,-4.3861385074593
"74",73.7373737373737,-3.62418912841792,-2.86214727899926,-4.38623097783657
"75",74.7474747474748,-3.6237065296425,-2.86106614675275,-4.38634691253226
"76",75.7575757575758,-3.62322393086709,-2.85996160538843,-4.38648625634575
"77",76.7676767676768,-3.62274133209167,-2.85883371208256,-4.38664895210079
"78",77.7777777777778,-3.62225873331626,-2.85768252596154,-4.38683494067097
"79",78.7878787878788,-3.62177613454084,-2.85650810807567,-4.38704416100601
"80",79.7979797979798,-3.62129353576543,-2.85531052137222,-4.38727655015863
"81",80.8080808080808,-3.62081093699001,-2.8540898306678,-4.38753204331222
"82",81.8181818181818,-3.62032833821459,-2.85284610262016,-4.38781057380903
"83",82.8282828282828,-3.61984573943918,-2.85157940569928,-4.38811207317908
"84",83.8383838383838,-3.61936314066376,-2.85028981015795,-4.38843647116957
"85",84.8484848484849,-3.61888054188835,-2.84897738800177,-4.38878369577492
"86",85.8585858585859,-3.61839794311293,-2.84764221295861,-4.38915367326725
"87",86.8686868686869,-3.61791534433751,-2.84628436044756,-4.38954632822747
"88",87.8787878787879,-3.6174327455621,-2.84490390754744,-4.38996158357676
"89",88.8888888888889,-3.61695014678668,-2.84350093296485,-4.39039936060852
"90",89.8989898989899,-3.61646754801127,-2.84207551700179,-4.39085957902075
"91",90.9090909090909,-3.61598494923585,-2.84062774152292,-4.39134215694879
"92",91.9191919191919,-3.61550235046044,-2.83915768992245,-4.39184701099843
"93",92.9292929292929,-3.61501975168502,-2.83766544709069,-4.39237405627935
